"","PROBEID","SYMBOL","ENTREZID","GENENAME"
"1886","11065_at","UBE2C","11065","ubiquitin conjugating enzyme E2 C"
"1887","11066_at","SNRNP35","11066","small nuclear ribonucleoprotein U11/U12 subunit 35"
"1888","11067_at","C10orf10","11067","chromosome 10 open reading frame 10"
"1889","11068_at","CYB561D2","11068","cytochrome b561 family member D2"
"1890","11069_at","RAPGEF4","11069","Rap guanine nucleotide exchange factor 4"
"1891","1106_at","CHD2","1106","chromodomain helicase DNA binding protein 2"
"1892","11070_at","TMEM115","11070","transmembrane protein 115"
"1893","11072_at","DUSP14","11072","dual specificity phosphatase 14"
"1894","11073_at","TOPBP1","11073","topoisomerase (DNA) II binding protein 1"
"1895","11074_at","TRIM31","11074","tripartite motif containing 31"
"1896","11075_at","STMN2","11075","stathmin 2"
"1897","11076_at","TPPP","11076","tubulin polymerization promoting protein"
"1898","11077_at","HSF2BP","11077","heat shock transcription factor 2 binding protein"
"1899","11078_at","TRIOBP","11078","TRIO and F-actin binding protein"
"1900","11079_at","RER1","11079","retention in endoplasmic reticulum sorting receptor 1"
"1901","1107_at","CHD3","1107","chromodomain helicase DNA binding protein 3"
"1902","11080_at","DNAJB4","11080","DnaJ heat shock protein family (Hsp40) member B4"
"1903","11081_at","KERA","11081","keratocan"
"1904","11082_at","ESM1","11082","endothelial cell specific molecule 1"
"1905","11083_at","DIDO1","11083","death inducer-obliterator 1"
"1906","11085_at","ADAM30","11085","ADAM metallopeptidase domain 30"
"1907","11086_at","ADAM29","11086","ADAM metallopeptidase domain 29"
"1908","1108_at","CHD4","1108","chromodomain helicase DNA binding protein 4"
"1909","11091_at","WDR5","11091","WD repeat domain 5"
"1910","11092_at","SPACA9","11092","sperm acrosome associated 9"
"1911","11093_at","ADAMTS13","11093","ADAM metallopeptidase with thrombospondin type 1 motif 13"
"1912","11094_at","CACFD1","11094","calcium channel flower domain containing 1"
"1913","11095_at","ADAMTS8","11095","ADAM metallopeptidase with thrombospondin type 1 motif 8"
"1914","11096_at","ADAMTS5","11096","ADAM metallopeptidase with thrombospondin type 1 motif 5"
"1915","11097_at","NUPL2","11097","nucleoporin like 2"
"1916","11098_at","PRSS23","11098","protease, serine 23"
"1917","11099_at","PTPN21","11099","protein tyrosine phosphatase, non-receptor type 21"
"1918","1109_at","AKR1C4","1109","aldo-keto reductase family 1 member C4"
"1919","11100_at","HNRNPUL1","11100","heterogeneous nuclear ribonucleoprotein U like 1"
"1920","11101_at","ATE1","11101","arginyltransferase 1"
"1921","11102_at","RPP14","11102","ribonuclease P/MRP subunit p14"
"1922","11103_at","KRR1","11103","KRR1, small subunit processome component homolog"
"1923","11104_at","KATNA1","11104","katanin catalytic subunit A1"
"1924","11105_at","PRDM7","11105","PR/SET domain 7"
"1925","11107_at","PRDM5","11107","PR/SET domain 5"
"1926","11108_at","PRDM4","11108","PR/SET domain 4"
"1927","11112_at","HIBADH","11112","3-hydroxyisobutyrate dehydrogenase"
"1928","11113_at","CIT","11113","citron rho-interacting serine/threonine kinase"
"1929","11116_at","FGFR1OP","11116","FGFR1 oncogene partner"
"1930","11117_at","EMILIN1","11117","elastin microfibril interfacer 1"
"1931","11118_at","BTN3A2","11118","butyrophilin subfamily 3 member A2"
"1932","11119_at","BTN3A1","11119","butyrophilin subfamily 3 member A1"
"1933","1111_at","CHEK1","1111","checkpoint kinase 1"
"1934","11120_at","BTN2A1","11120","butyrophilin subfamily 2 member A1"
"1935","11122_at","PTPRT","11122","protein tyrosine phosphatase, receptor type T"
"1936","11123_at","RCAN3","11123","RCAN family member 3"
"1937","11124_at","FAF1","11124","Fas associated factor 1"
"1938","11126_at","CD160","11126","CD160 molecule"
"1939","11127_at","KIF3A","11127","kinesin family member 3A"
"1940","11128_at","POLR3A","11128","RNA polymerase III subunit A"
"1941","11129_at","CLASRP","11129","CLK4 associating serine/arginine rich protein"
"1942","1112_at","FOXN3","1112","forkhead box N3"
"1943","11130_at","ZWINT","11130","ZW10 interacting kinetochore protein"
"1944","11131_at","CAPN11","11131","calpain 11"
"1945","11132_at","CAPN10","11132","calpain 10"
"1946","11133_at","KPTN","11133","kaptin, actin binding protein"
"1947","11135_at","CDC42EP1","11135","CDC42 effector protein 1"
"1948","11136_at","SLC7A9","11136","solute carrier family 7 member 9"
"1949","11137_at","PWP1","11137","PWP1 homolog, endonuclein"
"1950","11138_at","TBC1D8","11138","TBC1 domain family member 8"
"1951","1113_at","CHGA","1113","chromogranin A"
"1952","11140_at","CDC37","11140","cell division cycle 37"
"1953","11141_at","IL1RAPL1","11141","interleukin 1 receptor accessory protein like 1"
"1954","11142_at","PKIG","11142","cAMP-dependent protein kinase inhibitor gamma"
"1955","11144_at","DMC1","11144","DNA meiotic recombinase 1"
"1956","11145_at","PLA2G16","11145","phospholipase A2 group XVI"
"1957","11146_at","GLMN","11146","glomulin, FKBP associated protein"
"1958","11147_at","HHLA3","11147","HERV-H LTR-associating 3"
"1959","11148_at","HHLA2","11148","HERV-H LTR-associating 2"
"1960","11149_at","BVES","11149","blood vessel epicardial substance"
"1961","1114_at","CHGB","1114","chromogranin B"
"1962","11151_at","CORO1A","11151","coronin 1A"
"1963","11152_at","WDR45","11152","WD repeat domain 45"
"1964","11153_at","FICD","11153","FIC domain containing"
"1965","11154_at","AP4S1","11154","adaptor related protein complex 4 sigma 1 subunit"
"1966","11155_at","LDB3","11155","LIM domain binding 3"
"1967","11156_at","PTP4A3","11156","protein tyrosine phosphatase type IVA, member 3"
"1968","11157_at","LSM6","11157","LSM6 homolog, U6 small nuclear RNA and mRNA degradation associated"
"1969","11160_at","ERLIN2","11160","ER lipid raft associated 2"
"1970","11161_at","C14orf1","11161","chromosome 14 open reading frame 1"
"1971","11162_at","NUDT6","11162","nudix hydrolase 6"
"1972","11163_at","NUDT4","11163","nudix hydrolase 4"
"1973","11164_at","NUDT5","11164","nudix hydrolase 5"
"1974","11166_at","SOX21","11166","SRY-box 21"
"1975","11167_at","FSTL1","11167","follistatin like 1"
"1976","11168_at","PSIP1","11168","PC4 and SFRS1 interacting protein 1"
"1977","11169_at","WDHD1","11169","WD repeat and HMG-box DNA binding protein 1"
"1978","1116_at","CHI3L1","1116","chitinase 3 like 1"
"1979","11170_at","FAM107A","11170","family with sequence similarity 107 member A"
"1980","11171_at","STRAP","11171","serine/threonine kinase receptor associated protein"
"1981","11172_at","INSL6","11172","insulin like 6"
"1982","11174_at","ADAMTS6","11174","ADAM metallopeptidase with thrombospondin type 1 motif 6"
"1983","11176_at","BAZ2A","11176","bromodomain adjacent to zinc finger domain 2A"
"1984","11177_at","BAZ1A","11177","bromodomain adjacent to zinc finger domain 1A"
"1985","11178_at","LZTS1","11178","leucine zipper tumor suppressor 1"
"1986","11179_at","ZNF277","11179","zinc finger protein 277"
"1987","1117_at","CHI3L2","1117","chitinase 3 like 2"
"1988","11180_at","WDR6","11180","WD repeat domain 6"
"1989","11181_at","TREH","11181","trehalase"
"1990","11182_at","SLC2A6","11182","solute carrier family 2 member 6"
"1991","11183_at","MAP4K5","11183","mitogen-activated protein kinase kinase kinase kinase 5"
"1992","11184_at","MAP4K1","11184","mitogen-activated protein kinase kinase kinase kinase 1"
"1993","11185_at","INMT","11185","indolethylamine N-methyltransferase"
"1994","11186_at","RASSF1","11186","Ras association domain family member 1"
"1995","11187_at","PKP3","11187","plakophilin 3"
"1996","11188_at","NISCH","11188","nischarin"
"1997","11189_at","CELF3","11189","CUGBP Elav-like family member 3"
"1998","1118_at","CHIT1","1118","chitinase 1"
"1999","11190_at","CEP250","11190","centrosomal protein 250"
"2000","11193_at","WBP4","11193","WW domain binding protein 4"
"2001","11194_at","ABCB8","11194","ATP binding cassette subfamily B member 8"
"2002","11196_at","SEC23IP","11196","SEC23 interacting protein"
"2003","11197_at","WIF1","11197","WNT inhibitory factor 1"
"2004","11198_at","SUPT16H","11198","SPT16 homolog, facilitates chromatin remodeling subunit"
"2005","11199_at","ANXA10","11199","annexin A10"
"2006","1119_at","CHKA","1119","choline kinase alpha"
"2007","111_at","ADCY5","111","adenylate cyclase 5"
"2008","11201_at","POLI","11201","DNA polymerase iota"
"2009","11202_at","KLK8","11202","kallikrein related peptidase 8"
"2010","11211_at","FZD10","11211","frizzled class receptor 10"
"2011","11212_at","PLPBP","11212","pyridoxal phosphate binding protein"
"2012","11213_at","IRAK3","11213","interleukin 1 receptor associated kinase 3"
"2013","11214_at","AKAP13","11214","A-kinase anchoring protein 13"
"2014","11215_at","AKAP11","11215","A-kinase anchoring protein 11"
"2015","11216_at","AKAP10","11216","A-kinase anchoring protein 10"
"2016","11218_at","DDX20","11218","DEAD-box helicase 20"
"2017","11219_at","TREX2","11219","three prime repair exonuclease 2"
"2018","1121_at","CHM","1121","CHM, Rab escort protein 1"
"2019","11221_at","DUSP10","11221","dual specificity phosphatase 10"
"2020","11222_at","MRPL3","11222","mitochondrial ribosomal protein L3"
"2021","11223_at","MST1L","11223","macrophage stimulating 1 like"
"2022","11226_at","GALNT6","11226","polypeptide N-acetylgalactosaminyltransferase 6"
"2023","11227_at","GALNT5","11227","polypeptide N-acetylgalactosaminyltransferase 5"
"2024","11228_at","RASSF8","11228","Ras association domain family member 8"
"2025","1122_at","CHML","1122","CHM like, Rab escort protein 2"
"2026","11230_at","PRAF2","11230","PRA1 domain family member 2"
"2027","11231_at","SEC63","11231","SEC63 homolog, protein translocation regulator"
"2028","11232_at","POLG2","11232","DNA polymerase gamma 2, accessory subunit"
"2029","11234_at","HPS5","11234","HPS5, biogenesis of lysosomal organelles complex 2 subunit 2"
"2030","11235_at","PDCD10","11235","programmed cell death 10"
"2031","11236_at","RNF139","11236","ring finger protein 139"
"2032","11237_at","RNF24","11237","ring finger protein 24"
"2033","11238_at","CA5B","11238","carbonic anhydrase 5B"
"2034","112399_at","EGLN3","112399","egl-9 family hypoxia inducible factor 3"
"2035","1123_at","CHN1","1123","chimerin 1"
"2036","11240_at","PADI2","11240","peptidyl arginine deiminase 2"
"2037","11243_at","PMF1","11243","polyamine modulated factor 1"
"2038","11244_at","ZHX1","11244","zinc fingers and homeoboxes 1"
"2039","11245_at","GPR176","11245","G protein-coupled receptor 176"
"2040","112464_at","CAVIN3","112464","caveolae associated protein 3"
"2041","112476_at","PRRT2","112476","proline rich transmembrane protein 2"
"2042","112479_at","ERI2","112479","ERI1 exoribonuclease family member 2"
"2043","11247_at","NXPH4","11247","neurexophilin 4"
"2044","112483_at","SAT2","112483","spermidine/spermine N1-acetyltransferase family member 2"
"2045","112487_at","DTD2","112487","D-tyrosyl-tRNA deacylase 2 (putative)"
"2046","11248_at","NXPH3","11248","neurexophilin 3"
"2047","11249_at","NXPH2","11249","neurexophilin 2"
"2048","1124_at","CHN2","1124","chimerin 2"
"2049","11250_at","GPR45","11250","G protein-coupled receptor 45"
"2050","11251_at","PTGDR2","11251","prostaglandin D2 receptor 2"
"2051","11252_at","PACSIN2","11252","protein kinase C and casein kinase substrate in neurons 2"
"2052","11253_at","MAN1B1","11253","mannosidase alpha class 1B member 1"
"2053","11254_at","SLC6A14","11254","solute carrier family 6 member 14"
"2054","11255_at","HRH3","11255","histamine receptor H3"
"2055","112574_at","SNX18","112574","sorting nexin 18"
"2056","11257_at","TP53TG1","11257","TP53 target 1 (non-protein coding)"
"2057","11258_at","DCTN3","11258","dynactin subunit 3"
"2058","11259_at","FILIP1L","11259","filamin A interacting protein 1 like"
"2059","112609_at","MRAP2","112609","melanocortin 2 receptor accessory protein 2"
"2060","11260_at","XPOT","11260","exportin for tRNA"
"2061","112611_at","RWDD2A","112611","RWD domain containing 2A"
"2062","112616_at","CMTM7","112616","CKLF like MARVEL transmembrane domain containing 7"
"2063","11261_at","CHP1","11261","calcineurin like EF-hand protein 1"
"2064","11262_at","SP140","11262","SP140 nuclear body protein"
"2065","11264_at","PXMP4","11264","peroxisomal membrane protein 4"
"2066","11266_at","DUSP12","11266","dual specificity phosphatase 12"
"2067","11267_at","SNF8","11267","SNF8, ESCRT-II complex subunit"
"2068","112703_at","FAM71E1","112703","family with sequence similarity 71 member E1"
"2069","11270_at","NRM","11270","nurim (nuclear envelope membrane protein)"
"2070","112724_at","RDH13","112724","retinol dehydrogenase 13"
"2071","11273_at","ATXN2L","11273","ataxin 2 like"
"2072","112744_at","IL17F","112744","interleukin 17F"
"2073","112752_at","IFT43","112752","intraflagellar transport 43"
"2074","112755_at","STX1B","112755","syntaxin 1B"
"2075","11275_at","KLHL2","11275","kelch like family member 2"
"2076","11276_at","SYNRG","11276","synergin gamma"
"2077","112770_at","GLMP","112770","glycosylated lysosomal membrane protein"
"2078","11277_at","TREX1","11277","three prime repair exonuclease 1"
"2079","11278_at","KLF12","11278","Kruppel like factor 12"
"2080","11279_at","KLF8","11279","Kruppel like factor 8"
"2081","112802_at","KRT71","112802","keratin 71"
"2082","11280_at","SCN11A","11280","sodium voltage-gated channel alpha subunit 11"
"2083","112812_at","FDX1L","112812","ferredoxin 1 like"
"2084","112817_at","HOGA1","112817","4-hydroxy-2-oxoglutarate aldolase 1"
"2085","11281_at","POU6F2","11281","POU class 6 homeobox 2"
"2086","11282_at","MGAT4B","11282","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme B"
"2087","11283_at","CYP4F8","11283","cytochrome P450 family 4 subfamily F member 8"
"2088","112840_at","WDR89","112840","WD repeat domain 89"
"2089","112849_at","L3HYPDH","112849","trans-L-3-hydroxyproline dehydratase"
"2090","11284_at","PNKP","11284","polynucleotide kinase 3'-phosphatase"
"2091","112858_at","TP53RK","112858","TP53 regulating kinase"
"2092","11285_at","B4GALT7","11285","beta-1,4-galactosyltransferase 7"
"2093","112869_at","SGF29","112869","SAGA complex associated factor 29"
"2094","112885_at","PHF21B","112885","PHD finger protein 21B"
"2095","1128_at","CHRM1","1128","cholinergic receptor muscarinic 1"
"2096","112936_at","VPS26B","112936","VPS26, retromer complex component B"
"2097","112937_at","GLB1L3","112937","galactosidase beta 1 like 3"
"2098","112939_at","NACC1","112939","nucleus accumbens associated 1"
"2099","112942_at","CFAP36","112942","cilia and flagella associated protein 36"
"2100","112950_at","MED8","112950","mediator complex subunit 8"
"2101","112970_at","KTI12","112970","KTI12 chromatin associated homolog"
"2102","1129_at","CHRM2","1129","cholinergic receptor muscarinic 2"
"2103","112_at","ADCY6","112","adenylate cyclase 6"
"2104","113000_at","RPUSD1","113000","RNA pseudouridylate synthase domain containing 1"
"2105","113026_at","PLCD3","113026","phospholipase C delta 3"
"2106","113091_at","PTH2","113091","parathyroid hormone 2"
"2107","11309_at","SLCO2B1","11309","solute carrier organic anion transporter family member 2B1"
"2108","1130_at","LYST","1130","lysosomal trafficking regulator"
"2109","113115_at","MTFR2","113115","mitochondrial fission regulator 2"
"2110","11311_at","VPS45","11311","vacuolar protein sorting 45 homolog"
"2111","113130_at","CDCA5","113130","cell division cycle associated 5"
"2112","11313_at","LYPLA2","11313","lysophospholipase II"
"2113","113146_at","AHNAK2","113146","AHNAK nucleoprotein 2"
"2114","11314_at","CD300A","11314","CD300a molecule"
"2115","11315_at","PARK7","11315","Parkinsonism associated deglycase"
"2116","11316_at","COPE","11316","coatomer protein complex subunit epsilon"
"2117","113174_at","SAAL1","113174","serum amyloid A like 1"
"2118","113177_at","IZUMO4","113177","IZUMO family member 4"
"2119","113178_at","SCAMP4","113178","secretory carrier membrane protein 4"
"2120","113179_at","ADAT3","113179","adenosine deaminase, tRNA specific 3"
"2121","11317_at","RBPJL","11317","recombination signal binding protein for immunoglobulin kappa J region like"
"2122","113189_at","CHST14","113189","carbohydrate sulfotransferase 14"
"2123","11318_at","GPR182","11318","G protein-coupled receptor 182"
"2124","11319_at","ECD","11319","ecdysoneless cell cycle regulator"
"2125","1131_at","CHRM3","1131","cholinergic receptor muscarinic 3"
"2126","113201_at","CASC4","113201","cancer susceptibility 4"
"2127","11320_at","MGAT4A","11320","mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A"
"2128","11321_at","GPN1","11321","GPN-loop GTPase 1"
"2129","113220_at","KIF12","113220","kinesin family member 12"
"2130","11322_at","TMC6","11322","transmembrane channel like 6"
"2131","113230_at","MISP3","113230","MISP family member 3"
"2132","113235_at","SLC46A1","113235","solute carrier family 46 member 1"
"2133","113246_at","C12orf57","113246","chromosome 12 open reading frame 57"
"2134","113251_at","LARP4","113251","La ribonucleoprotein domain family member 4"
"2135","11325_at","DDX42","11325","DEAD-box helicase 42"
"2136","113263_at","GLCCI1","113263","glucocorticoid induced 1"
"2137","11326_at","VSIG4","11326","V-set and immunoglobulin domain containing 4"
"2138","113277_at","TMEM106A","113277","transmembrane protein 106A"
"2139","113278_at","SLC52A3","113278","solute carrier family 52 member 3"
"2140","11329_at","STK38","11329","serine/threonine kinase 38"
"2141","1132_at","CHRM4","1132","cholinergic receptor muscarinic 4"
"2142","11330_at","CTRC","11330","chymotrypsin C"
"2143","11331_at","PHB2","11331","prohibitin 2"
"2144","11332_at","ACOT7","11332","acyl-CoA thioesterase 7"
"2145","11333_at","PDAP1","11333","PDGFA associated protein 1"
"2146","11334_at","TUSC2","11334","tumor suppressor candidate 2"
"2147","11335_at","CBX3","11335","chromobox 3"
"2148","11336_at","EXOC3","11336","exocyst complex component 3"
"2149","11337_at","GABARAP","11337","GABA type A receptor-associated protein"
"2150","11338_at","U2AF2","11338","U2 small nuclear RNA auxiliary factor 2"
"2151","11339_at","OIP5","11339","Opa interacting protein 5"
"2152","1133_at","CHRM5","1133","cholinergic receptor muscarinic 5"
"2153","113402_at","SFT2D1","113402","SFT2 domain containing 1"
"2154","11340_at","EXOSC8","11340","exosome component 8"
"2155","113419_at","TEX261","113419","testis expressed 261"
"2156","11341_at","SCRG1","11341","stimulator of chondrogenesis 1"
"2157","11342_at","RNF13","11342","ring finger protein 13"
"2158","11343_at","MGLL","11343","monoglyceride lipase"
"2159","113444_at","SMIM12","113444","small integral membrane protein 12"
"2160","11344_at","TWF2","11344","twinfilin actin binding protein 2"
"2161","113451_at","AZIN2","113451","antizyme inhibitor 2"
"2162","113452_at","TMEM54","113452","transmembrane protein 54"
"2163","11345_at","GABARAPL2","11345","GABA type A receptor associated protein like 2"
"2164","11346_at","SYNPO","11346","synaptopodin"
"2165","1134_at","CHRNA1","1134","cholinergic receptor nicotinic alpha 1 subunit"
"2166","113510_at","HELQ","113510","helicase, POLQ-like"
"2167","113540_at","CMTM1","113540","CKLF like MARVEL transmembrane domain containing 1"
"2168","1135_at","CHRNA2","1135","cholinergic receptor nicotinic alpha 2 subunit"
"2169","113612_at","CYP2U1","113612","cytochrome P450 family 2 subfamily U member 1"
"2170","113622_at","ADPRHL1","113622","ADP-ribosylhydrolase like 1"
"2171","113655_at","MFSD3","113655","major facilitator superfamily domain containing 3"
"2172","113675_at","SDSL","113675","serine dehydratase like"
"2173","113691_at","TUBA3FP","113691","tubulin alpha 3f pseudogene"
"2174","1136_at","CHRNA3","1136","cholinergic receptor nicotinic alpha 3 subunit"
"2175","113730_at","KLHDC7B","113730","kelch domain containing 7B"
"2176","113746_at","ODF3","113746","outer dense fiber of sperm tails 3"
"2177","113763_at","ZBED6CL","113763","ZBED6 C-terminal like"
"2178","113791_at","PIK3IP1","113791","phosphoinositide-3-kinase interacting protein 1"
"2179","1137_at","CHRNA4","1137","cholinergic receptor nicotinic alpha 4 subunit"
"2180","113802_at","HENMT1","113802","HEN1 methyltransferase homolog 1"
"2181","113828_at","FAM83F","113828","family with sequence similarity 83 member F"
"2182","113829_at","SLC35A4","113829","solute carrier family 35 member A4"
"2183","113835_at","ZNF257","113835","zinc finger protein 257"
"2184","113878_at","DTX2","113878","deltex E3 ubiquitin ligase 2"
"2185","1138_at","CHRNA5","1138","cholinergic receptor nicotinic alpha 5 subunit"
"2186","113_at","ADCY7","113","adenylate cyclase 7"
"2187","114026_at","ZIM3","114026","zinc finger imprinted 3"
"2188","114034_at","TOE1","114034","target of EGR1, member 1 (nuclear)"
"2189","114036_at","LINC00310","114036","long intergenic non-protein coding RNA 310"
"2190","114038_at","LINC00313","114038","long intergenic non-protein coding RNA 313"
"2191","114041_at","B3GALT5-AS1","114041","B3GALT5 antisense RNA 1"
"2192","114043_at","TSPEAR-AS2","114043","TSPEAR antisense RNA 2"
"2193","114044_at","MCM3AP-AS1","114044","MCM3AP antisense RNA 1"
"2194","114049_at","BUD23","114049","BUD23, rRNA methyltransferase and ribosome maturation factor"
"2195","114088_at","TRIM9","114088","tripartite motif containing 9"
"2196","1140_at","CHRNB1","1140","cholinergic receptor nicotinic beta 1 subunit"
"2197","114112_at","TXNRD3","114112","thioredoxin reductase 3"
"2198","114131_at","UCN3","114131","urocortin 3"
"2199","114132_at","SIGLEC11","114132","sialic acid binding Ig like lectin 11"
"2200","114134_at","SLC2A13","114134","solute carrier family 2 member 13"
"2201","1141_at","CHRNB2","1141","cholinergic receptor nicotinic beta 2 subunit"
"2202","114294_at","LACTB","114294","lactamase beta"
"2203","114299_at","PALM2","114299","paralemmin 2"
"2204","1142_at","CHRNB3","1142","cholinergic receptor nicotinic beta 3 subunit"
"2205","114327_at","EFHC1","114327","EF-hand domain containing 1"
"2206","1143_at","CHRNB4","1143","cholinergic receptor nicotinic beta 4 subunit"
"2207","1144_at","CHRND","1144","cholinergic receptor nicotinic delta subunit"
"2208","114548_at","NLRP3","114548","NLR family pyrin domain containing 3"
"2209","114569_at","MAL2","114569","mal, T-cell differentiation protein 2 (gene/pseudogene)"
"2210","114571_at","SLC22A9","114571","solute carrier family 22 member 9"
"2211","1145_at","CHRNE","1145","cholinergic receptor nicotinic epsilon subunit"
"2212","114609_at","TIRAP","114609","TIR domain containing adaptor protein"
"2213","114614_at","MIR155HG","114614","MIR155 host gene"
"2214","114625_at","ERMAP","114625","erythroblast membrane associated protein (Scianna blood group)"
"2215","114659_at","LRRC37B","114659","leucine rich repeat containing 37B"
"2216","1146_at","CHRNG","1146","cholinergic receptor nicotinic gamma subunit"
"2217","114757_at","CYGB","114757","cytoglobin"
"2218","114769_at","CARD16","114769","caspase recruitment domain family member 16"
"2219","114770_at","PGLYRP2","114770","peptidoglycan recognition protein 2"
"2220","114771_at","PGLYRP3","114771","peptidoglycan recognition protein 3"
"2221","114780_at","PKD1L2","114780","polycystin 1 like 2 (gene/pseudogene)"
"2222","114781_at","BTBD9","114781","BTB domain containing 9"
"2223","114783_at","LMTK3","114783","lemur tyrosine kinase 3"
"2224","114784_at","CSMD2","114784","CUB and Sushi multiple domains 2"
"2225","114785_at","MBD6","114785","methyl-CpG binding domain protein 6"
"2226","114786_at","XKR4","114786","XK related 4"
"2227","114787_at","GPRIN1","114787","G protein regulated inducer of neurite outgrowth 1"
"2228","114788_at","CSMD3","114788","CUB and Sushi multiple domains 3"
"2229","114789_at","SLC25A25","114789","solute carrier family 25 member 25"
"2230","114790_at","STK11IP","114790","serine/threonine kinase 11 interacting protein"
"2231","114791_at","TUBGCP5","114791","tubulin gamma complex associated protein 5"
"2232","114792_at","KLHL32","114792","kelch like family member 32"
"2233","114793_at","FMNL2","114793","formin like 2"
"2234","114794_at","ELFN2","114794","extracellular leucine rich repeat and fibronectin type III domain containing 2"
"2235","114795_at","TMEM132B","114795","transmembrane protein 132B"
"2236","114796_at","PSMG3-AS1","114796","PSMG3 antisense RNA 1 (head to head)"
"2237","114798_at","SLITRK1","114798","SLIT and NTRK like family member 1"
"2238","114799_at","ESCO1","114799","establishment of sister chromatid cohesion N-acetyltransferase 1"
"2239","1147_at","CHUK","1147","conserved helix-loop-helix ubiquitous kinase"
"2240","114800_at","CCDC85A","114800","coiled-coil domain containing 85A"
"2241","114801_at","TMEM200A","114801","transmembrane protein 200A"
"2242","114803_at","MYSM1","114803","Myb like, SWIRM and MPN domains 1"
"2243","114804_at","RNF157","114804","ring finger protein 157"
"2244","114805_at","GALNT13","114805","polypeptide N-acetylgalactosaminyltransferase 13"
"2245","114815_at","SORCS1","114815","sortilin related VPS10 domain containing receptor 1"
"2246","114818_at","KLHL29","114818","kelch like family member 29"
"2247","114819_at","CROCCP3","114819","ciliary rootlet coiled-coil, rootletin pseudogene 3"
"2248","114821_at","ZBED9","114821","zinc finger BED-type containing 9"
"2249","114822_at","RHPN1","114822","rhophilin Rho GTPase binding protein 1"
"2250","114823_at","LENG8","114823","leukocyte receptor cluster member 8"
"2251","114825_at","PWWP2A","114825","PWWP domain containing 2A"
"2252","114826_at","SMYD4","114826","SET and MYND domain containing 4"
"2253","114827_at","FHAD1","114827","forkhead associated phosphopeptide binding domain 1"
"2254","114836_at","SLAMF6","114836","SLAM family member 6"
"2255","114876_at","OSBPL1A","114876","oxysterol binding protein like 1A"
"2256","114879_at","OSBPL5","114879","oxysterol binding protein like 5"
"2257","114880_at","OSBPL6","114880","oxysterol binding protein like 6"
"2258","114881_at","OSBPL7","114881","oxysterol binding protein like 7"
"2259","114882_at","OSBPL8","114882","oxysterol binding protein like 8"
"2260","114883_at","OSBPL9","114883","oxysterol binding protein like 9"
"2261","114884_at","OSBPL10","114884","oxysterol binding protein like 10"
"2262","114885_at","OSBPL11","114885","oxysterol binding protein like 11"
"2263","114897_at","C1QTNF1","114897","C1q and TNF related 1"
"2264","114898_at","C1QTNF2","114898","C1q and TNF related 2"
"2265","114899_at","C1QTNF3","114899","C1q and TNF related 3"
"2266","114900_at","C1QTNF4","114900","C1q and TNF related 4"
"2267","114904_at","C1QTNF6","114904","C1q and TNF related 6"
"2268","114905_at","C1QTNF7","114905","C1q and TNF related 7"
"2269","114907_at","FBXO32","114907","F-box protein 32"
"2270","114908_at","TMEM123","114908","transmembrane protein 123"
"2271","114915_at","EPB41L4A-AS1","114915","EPB41L4A antisense RNA 1"
"2272","114926_at","SMIM19","114926","small integral membrane protein 19"
"2273","114932_at","MRFAP1L1","114932","Morf4 family associated protein 1 like 1"
"2274","114960_at","TSGA13","114960","testis specific 13"
"2275","114971_at","PTPMT1","114971","protein tyrosine phosphatase, mitochondrial 1"
"2276","114984_at","FLYWCH2","114984","FLYWCH family member 2"
"2277","114987_at","WDR31","114987","WD repeat domain 31"
"2278","114990_at","VASN","114990","vasorin"
"2279","114991_at","ZNF618","114991","zinc finger protein 618"
"2280","1149_at","CIDEA","1149","cell death-inducing DFFA-like effector a"
"2281","114_at","ADCY8","114","adenylate cyclase 8"
"2282","115004_at","MB21D1","115004","Mab-21 domain containing 1"
"2283","115019_at","SLC26A9","115019","solute carrier family 26 member 9"
"2284","115024_at","NT5C3B","115024","5'-nucleotidase, cytosolic IIIB"
"2285","115098_at","CCDC124","115098","coiled-coil domain containing 124"
"2286","115106_at","HAUS1","115106","HAUS augmin like complex subunit 1"
"2287","115111_at","SLC26A7","115111","solute carrier family 26 member 7"
"2288","115123_at","MARCH3","115123","membrane associated ring-CH-type finger 3"
"2289","115196_at","ZNF554","115196","zinc finger protein 554"
"2290","115201_at","ATG4A","115201","autophagy related 4A cysteine peptidase"
"2291","115207_at","KCTD12","115207","potassium channel tetramerization domain containing 12"
"2292","115209_at","OMA1","115209","OMA1 zinc metallopeptidase"
"2293","115265_at","DDIT4L","115265","DNA damage inducible transcript 4 like"
"2294","115273_at","RAB42","115273","RAB42, member RAS oncogene family"
"2295","115286_at","SLC25A26","115286","solute carrier family 25 member 26"
"2296","115290_at","FBXO17","115290","F-box protein 17"
"2297","115294_at","PCMTD1","115294","protein-L-isoaspartate (D-aspartate) O-methyltransferase domain containing 1"
"2298","1152_at","CKB","1152","creatine kinase B"
"2299","115330_at","GPR146","115330","G protein-coupled receptor 146"
"2300","115350_at","FCRL1","115350","Fc receptor like 1"
"2301","115352_at","FCRL3","115352","Fc receptor like 3"
"2302","115353_at","LRRC42","115353","leucine rich repeat containing 42"
